iter	Passed	Remaining
0	139	139765
1	141	70425
2	143	47560
3	144	35941
4	145	28921
5	146	24230
6	147	20870
7	148	18360
8	148	16401
9	152	15053
10	153	13823
11	154	12740
12	155	11826
13	156	11042
14	158	10382
15	159	9778
16	159	9246
17	160	8771
18	161	8346
19	162	7964
20	163	7623
21	164	7322
22	166	7082
23	167	6824
24	169	6624
25	171	6409
26	172	6216
27	173	6018
28	174	5837
29	175	5666
30	176	5509
31	177	5357
32	178	5216
33	181	5154
34	182	5032
35	183	4914
36	184	4801
37	185	4698
38	186	4599
39	187	4503
40	188	4412
41	189	4324
42	190	4239
43	191	4156
44	192	4078
45	193	4011
46	195	3971
47	196	3905
48	197	3840
49	198	3780
50	199	3721
51	201	3669
52	202	3613
53	203	3558
54	204	3507
55	205	3456
56	205	3406
57	206	3359
58	207	3315
59	210	3291
60	211	3249
61	212	3211
62	213	3172
63	214	3133
64	215	3096
65	216	3065
66	217	3030
67	218	2995
68	219	2961
69	220	2929
70	221	2896
71	222	2864
72	225	2868
73	227	2840
74	228	2813
75	229	2785
76	230	2758
77	231	2735
78	232	2708
79	233	2683
80	234	2657
81	235	2632
82	235	2603
83	236	2579
84	237	2557
85	239	2545
86	240	2527
87	241	2506
88	242	2486
89	243	2466
90	244	2446
91	246	2431
92	247	2411
93	248	2392
94	249	2373
95	250	2354
96	250	2336
97	251	2318
98	253	2311
99	255	2296
100	256	2280
101	257	2264
102	258	2249
103	259	2233
104	260	2221
105	261	2205
106	262	2190
107	263	2174
108	264	2160
109	265	2145
110	266	2131
111	268	2129
112	269	2116
113	270	2104
114	271	2092
115	273	2080
116	274	2068
117	275	2059
118	276	2046
119	277	2033
120	278	2022
121	279	2008
122	280	1996
123	280	1984
124	283	1984
125	284	1976
126	285	1965
127	286	1954
128	287	1943
129	288	1932
130	290	1924
131	291	1914
132	292	1903
133	292	1893
134	293	1883
135	294	1872
136	295	1863
137	297	1859
138	298	1850
139	299	1841
140	300	1833
141	301	1822
142	302	1813
143	303	1804
144	304	1798
145	305	1788
146	306	1779
147	307	1770
148	308	1761
149	309	1753
150	310	1745
151	313	1747
152	314	1741
153	315	1734
154	316	1726
155	317	1718
156	318	1712
157	319	1704
158	320	1696
159	321	1688
160	322	1679
161	323	1672
162	324	1664
163	325	1656
164	326	1653
165	328	1648
166	329	1641
167	330	1635
168	331	1629
169	332	1623
170	333	1618
171	334	1611
172	335	1604
173	336	1597
174	337	1591
175	338	1584
176	339	1578
177	341	1577
178	343	1575
179	344	1569
180	345	1563
181	346	1557
182	347	1550
183	348	1546
184	349	1540
185	350	1533
186	351	1527
187	352	1521
188	353	1515
189	354	1509
190	356	1509
191	357	1505
192	358	1499
193	359	1494
194	360	1489
195	361	1484
196	363	1481
197	364	1476
198	365	1471
199	366	1465
200	367	1460
201	368	1454
202	369	1450
203	372	1451
204	373	1447
205	374	1443
206	375	1438
207	376	1433
208	377	1430
209	378	1424
210	379	1419
211	380	1414
212	381	1410
213	382	1405
214	383	1400
215	385	1399
216	386	1394
